"","movement","environment","tactic","run","total_energy","total_cpu","total_ram"
"282","AUTONOMOUS","obstacles","ee4",2,1259596.435,20.5310084033613,24.4231092436975
"283","AUTONOMOUS","obstacles","ee4",3,1231412.265,20.8984033613445,24.3751260504202
"284","AUTONOMOUS","obstacles","ee4",4,1302843.68,20.2464166666667,24.42775
"285","AUTONOMOUS","obstacles","ee4",5,1275779.19,20.5457983193277,24.4114285714286
"286","AUTONOMOUS","obstacles","ee4",6,1321916.065,20.7112605042017,23.7817647058824
"287","AUTONOMOUS","obstacles","ee4",7,1313629.915,20.348487394958,24.4275630252101
"288","AUTONOMOUS","obstacles","ee4",8,1293583.955,20.9297478991597,24.3983193277311
"289","AUTONOMOUS","obstacles","ee4",9,1233294.78,20.3942016806723,23.7906722689076
"290","AUTONOMOUS","obstacles","ee4",10,1263139.88,20.2906666666667,24.42175
"291","AUTONOMOUS","obstacles","combined",1,1225216.78,19.518359375,23.92515625
"292","AUTONOMOUS","obstacles","combined",2,1258589.84,19.5283606557377,24.6294262295082
"293","AUTONOMOUS","obstacles","combined",3,1203966.23,19.31552,23.97912
"294","AUTONOMOUS","obstacles","combined",4,1231433.285,19.4793650793651,24.593253968254
"295","AUTONOMOUS","obstacles","combined",5,1244956.115,19.9767213114754,23.9741803278689
"296","AUTONOMOUS","obstacles","combined",6,1231611.97,18.9903225806452,24.0337903225806
"297","AUTONOMOUS","obstacles","combined",7,1197490.3,19.4045901639344,24.6325409836066
"298","AUTONOMOUS","obstacles","combined",8,1225500.595,19.7558333333333,23.9564166666667
"299","AUTONOMOUS","obstacles","combined",9,1178811.55,19.571393442623,24.6427868852459
"300","AUTONOMOUS","obstacles","combined",10,1176551.09,19.964126984127,25.2514285714286
